Transaction_ID,Date,Customer_Type,Crop_Type,Harvest_Season,Moisture_Content_%,DM_Content_%,Quantity_MT,Price_per_MT_INR,Total_Sales_INR,Logistics_Cost_INR,Profit_Margin_%,Payment_Mode,Credit_Period_Days,Bagging_Type
TXN2023-002798,13-11-2023,Individual Farmer,Jowar,Rabi,61.6,38.4,3.97,7831,34741.47,1874.26,12.43,Cash,0,Bale-50kg
TXN2023-004987,14-11-2023,Individual Farmer,Jowar,Rabi,69.3,30.7,16.93,7816,130445.65,4402.23,10.48,Credit,21,Bale-50kg
TXN2023-001284,14-11-2023,Dairy Farm,Hybrid Mix,Rabi,62.2,37.8,5.45,6393,37926.55,1813.6,15.07,Credit,30,Bags
TXN2023-000654,15-11-2023,Dairy Farm,Maize,Rabi,65,36.3,18.99,6885,119048.31,4753.72,16.46,Bank Transfer,0,Bags
TXN2023-000398,15-11-2023,Dairy Farm,Bajra,Rabi,69.2,30.8,14.21,6557,93345.49,4093.31,15.58,Bank Transfer,0,Bulk
TXN2023-003094,15-11-2023,Co-operative,Jowar,Rabi,65.1,34.9,11,8093,91377,4377.18,17.73,Credit,7,Bags
TXN2023-002793,15-11-2023,Individual Farmer,Maize,Rabi,65,32,9.61,7105,60321.97,4420.44,8.67,Bank Transfer,0,Bale-25kg
TXN2023-003622,15-11-2023,Dairy Farm,Jowar,Rabi,61.5,38.5,9.29,7760,72378.39,1790.14,12.44,UPI,0,Bale-50kg
TXN2023-002717,16-11-2023,Individual Farmer,Jowar,Rabi,61.4,38.6,11.89,7643,81624.85,3546.63,19.69,UPI,0,Bale-50kg
TXN2023-001668,16-11-2023,Dairy Farm,Bajra,Rabi,61.8,38.2,11.75,6552,78008.25,4439.08,12.6,Bank Transfer,0,Bale-50kg
TXN2023-000345,16-11-2023,Co-operative,Jowar,Rabi,60.7,40.1,8.93,7548,73172.42,4573.34,14.68,Bank Transfer,0,Bulk
TXN2023-003807,16-11-2023,Dairy Farm,Maize,Rabi,58.4,41.6,8.18,6200,48458.32,3082.91,13.37,Credit,14,Bags
TXN2023-002314,16-11-2023,Individual Farmer,Bajra,Rabi,58.5,41.5,8.18,6908,63288.66,2648.16,13.95,Credit,21,Bags
TXN2023-004167,16-11-2023,Distributor,Bajra,Rabi,66.2,33.8,7.27,7403,46753.37,3195.6,14.09,Bank Transfer,0,Bale-50kg
TXN2023-002993,17-11-2023,Distributor,Jowar,Rabi,65.5,34.5,9.81,8494,72603.81,2604.63,17.45,Bank Transfer,0,Bale-50kg
TXN2023-001610,17-11-2023,Distributor,Bajra,Rabi,66.5,33.5,8.96,7460,65130.24,4226.38,17.32,UPI,0,Bags
TXN2023-002474,17-11-2023,Co-operative,Bajra,Rabi,62.8,37.2,6.29,7223,45784.91,2573.68,15.32,UPI,0,Bags
TXN2023-005313,17-11-2023,Individual Farmer,Maize,Rabi,66.1,39.1,6.11,6880,39684.45,2451.12,13.67,Credit,30,Bulk
TXN2023-000110,17-11-2023,Co-operative,Maize,Rabi,65,36.5,6.06,6890,39753.6,3897.01,13.33,Credit,7,Bags
TXN2023-004016,18-11-2023,Dairy Farm,Jowar,Rabi,60.9,39.1,16.61,7495,120571.99,4319.62,11.05,UPI,0,Bulk
TXN2023-003746,18-11-2023,Individual Farmer,Jowar,Rabi,66.3,33.7,12.77,8393,99631.54,3559.21,18.35,UPI,0,Bale-50kg
TXN2023-000289,18-11-2023,Individual Farmer,Maize,Rabi,64.9,35.4,12.7,6895,71831.2,2094.34,13.84,UPI,0,Bulk
TXN2023-005293,18-11-2023,Individual Farmer,Maize,Rabi,61.4,38.6,9,6444,67023,3337.1,13.2,Bank Transfer,0,Bags
TXN2023-001412,18-11-2023,Individual Farmer,Bajra,Rabi,67.8,32.2,5.35,7494,40264.1,1803.62,15.02,UPI,0,Bulk
TXN2023-000642,20-11-2023,Dairy Farm,Maize,Rabi,70.2,29.8,17.07,6197,119677.77,4684.79,16.39,Credit,21,Bale-50kg
TXN2023-005496,20-11-2023,Dairy Farm,Maize,Rabi,65,31.2,15.96,6799,109964.4,4890.37,13.23,UPI,0,Bulk
TXN2023-001200,20-11-2023,Individual Farmer,Hybrid Mix,Rabi,61.6,38.4,10.37,5687,59606.76,3232.85,14.98,UPI,0,Bale-25kg
TXN2023-001525,20-11-2023,Individual Farmer,Jowar,Rabi,60.2,39.8,6.18,7789,44780.28,3962.81,12.13,Bank Transfer,0,Bags
TXN2023-003726,20-11-2023,Individual Farmer,Bajra,Rabi,66.5,33.5,5.18,7407,40336.66,3068.98,13.93,UPI,0,Bale-50kg
TXN2023-004736,21-11-2023,Co-operative,Maize,Rabi,67.6,36.5,16.78,6810,118433.24,4146.72,19.5,Cash,0,Bale-50kg
TXN2023-001072,21-11-2023,Dairy Farm,Bajra,Rabi,69.3,30.7,10.29,6547,77751.24,2969.8,13.3,Cash,0,Bale-50kg
TXN2023-002032,21-11-2023,Co-operative,Jowar,Rabi,69,31,8.47,7627,62457.78,2119.61,13.68,UPI,0,Bags
TXN2023-003757,21-11-2023,Individual Farmer,Bajra,Rabi,60.3,39.7,4.8,6855,33028.8,3613.08,13.44,Cash,0,Bale-50kg
TXN2023-000451,21-11-2023,Dairy Farm,Maize,Rabi,60.7,39.3,2.78,6240,18189.54,1389.66,14.82,Bank Transfer,0,Bale-50kg
TXN2023-000117,22-11-2023,Individual Farmer,Jowar,Rabi,67.2,32.8,8.21,8651,76541.83,2296.36,15.93,Cash,0,Bale-25kg
TXN2023-000346,22-11-2023,Dairy Farm,Bajra,Rabi,65.7,34.3,7.82,7357,61559.04,4230.78,17.6,Bank Transfer,0,Bale-50kg
TXN2023-001674,22-11-2023,Dairy Farm,Jowar,Rabi,66,34,6.98,8237,51414.68,3863.25,20.6,UPI,0,Bulk
TXN2023-003766,23-11-2023,Individual Farmer,Maize,Rabi,63.7,40.5,17.49,7138,126959.91,4436.65,18.3,UPI,0,Bags
TXN2023-000830,23-11-2023,Individual Farmer,Hybrid Mix,Rabi,65.8,34.2,10.87,6394,66915.72,4497.42,12.61,UPI,0,Bale-25kg
TXN2023-004956,23-11-2023,Individual Farmer,Jowar,Rabi,64.3,35.7,7.79,8488,70187.9,2844.52,15,Bank Transfer,0,Bale-50kg
TXN2023-004405,23-11-2023,Distributor,Bajra,Rabi,58.9,41.1,6.44,6660,48840.96,2097.86,14.1,Bank Transfer,0,Bulk
TXN2023-003760,23-11-2023,Individual Farmer,Jowar,Rabi,61.1,38.9,6.05,7668,52798.35,2795.71,13.72,Credit,21,Bale-50kg
TXN2023-003204,24-11-2023,Dairy Farm,Bajra,Rabi,63.5,36.5,14.64,7382,104397.84,3116.58,14.88,Bank Transfer,0,Bags
TXN2023-001671,24-11-2023,Dairy Farm,Bajra,Rabi,64.4,35.6,13.75,7145,87903.75,5293.03,11.37,Cash,0,Bulk
TXN2023-001064,24-11-2023,Co-operative,Maize,Rabi,66.6,33.4,9.31,6845,63205.59,3076.04,10.08,UPI,0,Bulk
TXN2023-004216,24-11-2023,Individual Farmer,Bajra,Rabi,69.4,30.6,5.01,6855,37935.72,2210.51,11.96,Credit,21,Bale-50kg
TXN2023-003926,25-11-2023,Distributor,Hybrid Mix,Rabi,66,34,10.3,6386,69061.5,1729.5,10.28,Bank Transfer,0,Bale-50kg
TXN2023-004117,25-11-2023,Dairy Farm,Jowar,Rabi,69.4,30.6,5.87,7655,53240.9,3997.85,18.29,Cash,0,Bale-50kg
TXN2023-003490,25-11-2023,Individual Farmer,Bajra,Rabi,66.1,33.9,4.43,7683,32870.6,1505.47,19.96,UPI,0,Bale-50kg
TXN2023-004898,25-11-2023,Distributor,Maize,Rabi,64.9,37,2.95,6961,23924.5,3213.49,12.27,UPI,0,Bulk
TXN2023-003285,26-11-2023,Co-operative,Maize,Rabi,64.9,38.1,16.2,6885,97329.6,2588.65,15.38,Bank Transfer,0,Bags
TXN2023-000315,26-11-2023,Individual Farmer,Maize,Rabi,63.2,36.8,10.96,6950,85334.56,3269.97,12.45,Bank Transfer,0,Bale-25kg
TXN2023-001178,26-11-2023,Individual Farmer,Maize,Rabi,62.4,37.6,7.54,7003,59136.22,3726.28,21.27,Cash,0,Bale-50kg
TXN2023-003038,26-11-2023,Individual Farmer,Bajra,Rabi,63.8,36.2,6.84,7448,55807.56,2838.02,11.5,Credit,21,Bale-50kg
TXN2023-000318,26-11-2023,Individual Farmer,Hybrid Mix,Rabi,67.2,32.8,6,6588,42624,2628.37,12.81,Cash,0,Bags
TXN2023-002599,27-11-2023,Dairy Farm,Jowar,Rabi,64.3,35.7,16.09,8110,108800.58,4400.01,15.24,Bank Transfer,0,Bulk
TXN2023-005459,27-11-2023,Dairy Farm,Bajra,Rabi,69.5,30.5,6.38,6701,40551.28,1869.62,20.12,Bank Transfer,0,Bale-50kg
TXN2023-002559,28-11-2023,Individual Farmer,Hybrid Mix,Rabi,61.6,38.4,13.44,5803,79188.48,3953.84,18.18,UPI,0,Bale-50kg
TXN2023-004015,28-11-2023,Distributor,Maize,Rabi,70.2,29.8,11.75,6092,65200.75,2577.93,14.74,UPI,0,Bale-50kg
TXN2023-004494,28-11-2023,Individual Farmer,Jowar,Rabi,64.1,35.9,5.07,8400,42684.33,1861.21,16.45,UPI,0,Bags
TXN2023-003466,29-11-2023,Individual Farmer,Jowar,Rabi,62.9,37.1,11.65,8171,77554.05,4210.16,9.98,Cash,0,Bags
TXN2023-004134,29-11-2023,Co-operative,Maize,Rabi,67.6,32.9,8.28,6870,65685.24,2603.73,16.86,Credit,21,Bale-50kg
TXN2023-001717,29-11-2023,Individual Farmer,Jowar,Rabi,62.6,37.4,7.95,8444,59171.85,2836.14,18.67,UPI,0,Bulk
TXN2023-003752,30-11-2023,Individual Farmer,Jowar,Rabi,67.9,32.1,10.81,8243,87312.37,3712.41,22,Bank Transfer,0,Bulk
TXN2023-004769,30-11-2023,Individual Farmer,Hybrid Mix,Rabi,62,38,9.55,5933,62934.5,3823.2,14.31,Bank Transfer,0,Bale-25kg
TXN2023-002681,30-11-2023,Distributor,Maize,Rabi,70.1,29.9,7.54,6334,50977.94,1799.58,7.17,Credit,14,Bale-50kg
TXN2023-004204,01-12-2023,Dairy Farm,Jowar,Rabi,70.5,29.5,15.92,7528,124972,4741.76,11.7,Bank Transfer,0,Bags
TXN2023-002081,01-12-2023,Distributor,Maize,Rabi,67.1,32.9,6.13,6804,41616.57,3315,16.8,UPI,0,Bulk
TXN2023-000176,02-12-2023,Individual Farmer,Maize,Rabi,59.4,40.6,8.05,6464,64094.1,2053.95,11.27,Bank Transfer,0,Bale-25kg
TXN2023-004611,02-12-2023,Individual Farmer,Bajra,Rabi,63.4,36.6,6.71,7489,44064.57,2473.28,17.71,Bank Transfer,0,Bags
TXN2023-002598,03-12-2023,Dairy Farm,Maize,Rabi,64.9,33.4,11.9,6734,86298.8,5040.14,17.26,Credit,7,Bulk
TXN2023-004481,03-12-2023,Individual Farmer,Hybrid Mix,Rabi,64.2,35.8,10.57,6358,56697.48,4205.59,19.06,Credit,45,Bale-50kg
TXN2023-000526,03-12-2023,Dairy Farm,Bajra,Rabi,66.8,33.2,10.46,7122,80092.22,4557.97,15.2,Bank Transfer,0,Bulk
TXN2023-004518,03-12-2023,Dairy Farm,Hybrid Mix,Rabi,65,34,8.32,6366,62449.92,1861.54,19.18,UPI,0,Bags
TXN2023-005105,03-12-2023,Co-operative,Maize,Rabi,69.5,30.5,6.15,5940,41469.45,3263.23,13.87,UPI,0,Bulk
TXN2023-005177,04-12-2023,Individual Farmer,Maize,Rabi,65,38,7.82,7157,49821.22,3132.01,11.18,Cash,0,Bale-50kg
TXN2023-000212,04-12-2023,Dairy Farm,Jowar,Rabi,64.3,35.7,7.01,8405,58750.81,1721.73,14.46,Bank Transfer,0,Bale-50kg
TXN2023-003635,04-12-2023,Individual Farmer,Bajra,Rabi,61.5,38.5,6.98,6716,55456.1,3617.21,14.42,UPI,0,Bags
TXN2023-005198,04-12-2023,Dairy Farm,Maize,Rabi,61.8,38.2,6.31,6113,36515.97,1823.78,13.46,Bank Transfer,0,Bags
TXN2023-004099,05-12-2023,Co-operative,Maize,Rabi,59.8,40.2,25.05,6207,162900.15,3879.24,15.03,UPI,0,Bags
TXN2023-003677,05-12-2023,Distributor,Hybrid Mix,Rabi,64.9,35.1,17.44,6499,99251.04,3112.34,12.82,UPI,0,Bale-25kg
TXN2023-002597,05-12-2023,Co-operative,Bajra,Rabi,69.2,30.8,9.38,6759,70509.46,1848.63,8.7,Bank Transfer,0,Bale-50kg
TXN2023-000917,05-12-2023,Dairy Farm,Bajra,Rabi,66.2,33.8,6.65,7306,51983.05,2014.63,17.22,UPI,0,Bulk
TXN2023-001222,06-12-2023,Individual Farmer,Hybrid Mix,Rabi,62.2,37.8,19.35,6561,98685,4148.14,18.94,Bank Transfer,0,Bulk
TXN2023-000232,06-12-2023,Dairy Farm,Hybrid Mix,Rabi,61.1,38.9,19,5685,116717,5484.49,12.03,UPI,0,Bulk
TXN2023-001098,07-12-2023,Dairy Farm,Bajra,Rabi,63.9,36.1,9.54,7476,60712.56,4135.38,9.77,UPI,0,Bags
TXN2023-004453,08-12-2023,Individual Farmer,Bajra,Rabi,64,36,18.2,7497,115715.6,5246.77,15.06,Bank Transfer,0,Bags
TXN2023-002388,08-12-2023,Co-operative,Jowar,Rabi,65.8,34.2,15.01,8103,105325.17,3120.62,12.71,Bank Transfer,0,Bags
TXN2023-000018,08-12-2023,Individual Farmer,Jowar,Rabi,66.8,33.2,10.25,8214,70714.75,2710.51,13.39,Bank Transfer,0,Bale-50kg
TXN2023-001808,08-12-2023,Individual Farmer,Bajra,Rabi,64.1,35.9,7.76,7500,62165.36,3204.44,14.63,UPI,0,Bale-50kg
TXN2023-001760,08-12-2023,Co-operative,Jowar,Rabi,66.1,33.9,5.97,8233,43903.38,3125.4,12.27,Credit,7,Bags
TXN2023-003463,09-12-2023,Co-operative,Hybrid Mix,Rabi,65,37.9,14.42,6394,87140.06,3130.13,13.41,Bank Transfer,0,Bale-50kg
TXN2023-003001,09-12-2023,Co-operative,Maize,Rabi,58,42,13.67,6097,84125.18,4734.48,7.82,Bank Transfer,0,Bags
TXN2023-002822,09-12-2023,Individual Farmer,Jowar,Rabi,64.7,35.3,9.38,8619,79908.22,3979.21,14.41,Cash,0,Bale-25kg
TXN2023-003035,09-12-2023,Dairy Farm,Hybrid Mix,Rabi,67.6,37.3,6.09,6359,46679.85,3962.41,16.67,UPI,0,Bags
TXN2023-003566,09-12-2023,Dairy Farm,Jowar,Rabi,62.6,37.4,1.4,8385,12775,3397.64,15.72,Bank Transfer,0,Bags
TXN2023-003636,10-12-2023,Individual Farmer,Maize,Rabi,69.7,30.3,12.36,6219,86285.16,3798.98,16.5,UPI,0,Bulk
TXN2023-004337,10-12-2023,Co-operative,Jowar,Rabi,68.1,31.9,11.86,7423,88546.76,2575.41,15.68,UPI,0,Bale-50kg
TXN2023-000369,10-12-2023,Distributor,Jowar,Rabi,65.2,34.8,9.93,8507,73372.77,4361.54,16.24,Bank Transfer,0,Bulk
TXN2023-005114,10-12-2023,Dairy Farm,Jowar,Rabi,64.2,35.8,8.51,8477,59059.4,1854.54,8.87,Credit,30,Bale-50kg
TXN2023-003322,10-12-2023,Individual Farmer,Maize,Rabi,65,36.2,8.48,7013,65050.08,3301.28,13.99,Credit,14,Bulk
TXN2023-004231,10-12-2023,Distributor,Maize,Rabi,68,32,7.48,6259,53160.36,2260.64,11.92,Credit,7,Bale-25kg
TXN2023-004221,10-12-2023,Dairy Farm,Jowar,Rabi,61.7,38.3,6.37,7563,49049,2026.05,19.26,UPI,0,Bulk
TXN2023-004461,11-12-2023,Individual Farmer,Bajra,Rabi,64.6,35.4,15.52,7480,105365.28,4786.91,16.82,UPI,0,Bale-50kg
TXN2023-004039,12-12-2023,Distributor,Jowar,Rabi,67.1,32.9,29.36,8323,203729.04,5735.2,11.42,UPI,0,Bags
TXN2023-005238,12-12-2023,Individual Farmer,Hybrid Mix,Rabi,65,33,21.26,6794,123478.08,3946.5,12.67,Bank Transfer,0,Bags
TXN2023-005415,12-12-2023,Individual Farmer,Maize,Rabi,66.2,33.8,18.04,7083,138835.84,3204.82,16.42,Credit,30,Bulk
TXN2023-004043,12-12-2023,Dairy Farm,Bajra,Rabi,70,30,4.69,6738,38204.74,3768.45,18.41,UPI,0,Bags
TXN2023-005058,13-12-2023,Dairy Farm,Hybrid Mix,Rabi,72,28,14.17,5633,71501.82,3559.47,18.05,Bank Transfer,0,Bale-50kg
TXN2023-002786,13-12-2023,Individual Farmer,Jowar,Rabi,69.9,30.1,2.61,7754,24218.19,2084.17,17.25,Bank Transfer,0,Bale-50kg
TXN2023-005417,14-12-2023,Dairy Farm,Bajra,Rabi,65.5,34.5,15.84,7248,114459.84,4230.99,14.81,UPI,0,Bulk
TXN2023-002044,14-12-2023,Dairy Farm,Bajra,Rabi,70.7,29.3,8.52,6693,66004.44,2968.44,20.15,Bank Transfer,0,Bale-50kg
TXN2023-003916,15-12-2023,Co-operative,Bajra,Rabi,64.1,35.9,16.86,7250,128372.04,2539.04,15.38,Cash,0,Bags
TXN2023-001768,15-12-2023,Individual Farmer,Bajra,Rabi,66.3,33.7,11.66,7262,88417.78,3027.42,8.9,Credit,21,Bulk
TXN2023-000108,15-12-2023,Co-operative,Maize,Rabi,65,39.3,9.26,6994,55235.9,2680.28,12.34,Cash,0,Bags
TXN2023-001365,15-12-2023,Co-operative,Hybrid Mix,Rabi,65.6,34.4,4.38,6477,32591.58,2241.7,15.83,Cash,0,Bale-50kg
TXN2023-002264,16-12-2023,Individual Farmer,Bajra,Rabi,62.6,37.4,15.56,7561,104578.76,3095.95,15.74,UPI,0,Bale-50kg
TXN2023-002411,16-12-2023,Distributor,Jowar,Rabi,67,33,10.21,8260,68774.56,4002.65,13.5,Cash,0,Bale-50kg
TXN2023-000312,17-12-2023,Co-operative,Bajra,Rabi,68.4,31.6,16.9,6775,101721.1,3792.1,10.88,UPI,0,Bale-50kg
TXN2023-003555,17-12-2023,Individual Farmer,Jowar,Rabi,60.7,34.2,13.42,7602,102917.98,2857.06,6.72,Credit,7,Bale-50kg
TXN2023-001649,17-12-2023,Dairy Farm,Jowar,Rabi,59.4,40.6,8.52,7590,70647.84,3826.61,12.84,Bank Transfer,0,Bale-50kg
TXN2023-002872,18-12-2023,Individual Farmer,Maize,Rabi,65.3,34.7,19.52,7212,138631.04,3561.67,15.75,UPI,0,Bale-50kg
TXN2023-003484,18-12-2023,Distributor,Hybrid Mix,Rabi,68.2,31.8,17.28,5899,116691.84,3341.55,17.57,UPI,0,Bags
TXN2023-002146,18-12-2023,Distributor,Maize,Rabi,68.7,31.3,15.3,6219,93926.7,2985.42,12.53,Credit,30,Bale-25kg
TXN2023-004676,18-12-2023,Dairy Farm,Bajra,Rabi,60.3,39.7,6.9,6618,47748,3284.9,11.03,Credit,21,Bulk
TXN2023-003505,19-12-2023,Co-operative,Bajra,Rabi,59.5,40.5,9.2,6739,74280.8,3026.51,16.68,UPI,0,Bale-50kg
TXN2023-003258,19-12-2023,Individual Farmer,Hybrid Mix,Rabi,63.9,36.1,3.76,6536,24804.72,3314.19,13.4,Bank Transfer,0,Bulk
TXN2023-005435,20-12-2023,Dairy Farm,Hybrid Mix,Rabi,64.3,35.7,13.18,6408,93261.68,4287.53,16.78,UPI,0,Bale-50kg
TXN2023-005446,20-12-2023,Distributor,Maize,Rabi,65.3,34.7,11.89,6940,77974.62,4140.15,10.44,UPI,0,Bale-50kg
TXN2023-002790,20-12-2023,Individual Farmer,Bajra,Rabi,63.2,36.8,9.83,7507,71660.7,3470.44,18.28,UPI,0,Bags
TXN2023-003300,20-12-2023,Dairy Farm,Maize,Rabi,70.7,29.3,7.55,6061,57289.4,3208.51,16.25,UPI,0,Bulk
TXN2023-000054,20-12-2023,Dairy Farm,Hybrid Mix,Rabi,64.5,35.5,6.4,6375,45254.4,3785.97,15.57,UPI,0,Bale-50kg
TXN2023-003189,20-12-2023,Co-operative,Bajra,Rabi,61.5,38.5,3.48,6631,22480.8,1815.95,10.53,UPI,0,Bags
TXN2023-004947,21-12-2023,Dairy Farm,Maize,Rabi,67.6,35.7,14.85,6829,102197.7,3359.84,11.41,Bank Transfer,0,Bulk
TXN2023-000138,21-12-2023,Co-operative,Maize,Rabi,61,39,14.3,6105,90847.9,3361.65,10.08,Credit,21,Bale-50kg
TXN2023-002259,21-12-2023,Dairy Farm,Jowar,Rabi,67.7,32.3,13.93,8253,104962.55,2113.02,17.12,UPI,0,Bale-50kg
TXN2023-003036,21-12-2023,Co-operative,Jowar,Rabi,66.6,33.4,11.39,8069,95026.77,2753.86,15.01,UPI,0,Bags
TXN2023-004200,21-12-2023,Dairy Farm,Jowar,Rabi,70.8,29.2,10.38,7410,84970.68,4089.86,15.89,UPI,0,Bale-50kg
TXN2023-000842,22-12-2023,Distributor,Maize,Rabi,65,32.1,14.97,6989,106691.19,2136.37,9.32,Bank Transfer,0,Bale-50kg
TXN2023-004082,22-12-2023,Distributor,Hybrid Mix,Rabi,69.9,30.1,13.78,5699,92394.9,2496.95,9.57,UPI,0,Bale-50kg
TXN2023-003986,22-12-2023,Dairy Farm,Bajra,Rabi,68.2,31.8,7.8,6542,51519,1985.36,14.51,Credit,7,Bulk
TXN2023-003158,22-12-2023,Individual Farmer,Bajra,Rabi,66,34,6.49,7594,42483.54,2314.82,12.2,Credit,14,Bale-50kg
TXN2023-000729,22-12-2023,Individual Farmer,Bajra,Rabi,64.1,35.9,5.88,7422,37349.76,2890.28,18.47,Bank Transfer,0,Bulk
TXN2023-000844,23-12-2023,Dairy Farm,Maize,Rabi,60.1,39.9,19.79,6395,115989.19,2784.15,14.69,Bank Transfer,0,Bale-50kg
TXN2023-005231,23-12-2023,Co-operative,Maize,Rabi,66.9,33.1,15.25,6768,116555.75,4836.02,17.91,Cash,0,Bags
TXN2023-001910,23-12-2023,Individual Farmer,Hybrid Mix,Rabi,67.6,31.8,8.5,6495,50957.5,2064.41,15.84,Bank Transfer,0,Bulk
TXN2023-003638,23-12-2023,Co-operative,Hybrid Mix,Rabi,63.2,36.8,4.23,6375,31306.23,2932.38,16.99,Bank Transfer,0,Bale-50kg
TXN2023-001928,24-12-2023,Distributor,Maize,Rabi,64.9,35.1,17.73,6957,103153.14,3715.1,11.61,UPI,0,Bale-50kg
TXN2023-002358,24-12-2023,Dairy Farm,Hybrid Mix,Rabi,60,40,7.06,5582,38448.76,2975.26,16.89,UPI,0,Bags
TXN2023-002875,25-12-2023,Individual Farmer,Jowar,Rabi,68.1,31.9,20.82,7887,161604.84,5422.67,13.01,UPI,0,Bulk
TXN2023-004102,25-12-2023,Dairy Farm,Bajra,Rabi,64.3,35.7,19.2,7532,149702.4,4857.14,12.08,Credit,14,Bale-50kg
TXN2023-002856,25-12-2023,Individual Farmer,Maize,Rabi,65.7,34.3,16.81,7152,116089.86,3263.45,13.17,UPI,0,Bags
TXN2023-002129,25-12-2023,Dairy Farm,Bajra,Rabi,67,33,14.98,7424,94988.18,2324.42,11.73,UPI,0,Bale-50kg
TXN2023-000039,25-12-2023,Distributor,Bajra,Rabi,64.5,35.5,11.5,7231,73749.5,3576.85,14.04,UPI,0,Bags
TXN2023-001053,25-12-2023,Dairy Farm,Hybrid Mix,Rabi,60.5,39.5,6.3,5704,38247.3,1997.23,10.97,UPI,0,Bale-50kg
TXN2023-003236,26-12-2023,Individual Farmer,Maize,Rabi,65,33.9,23.59,7363,175556.78,6137.9,13.14,Bank Transfer,0,Bale-50kg
TXN2023-003951,26-12-2023,Dairy Farm,Bajra,Rabi,66.5,33.5,10.15,7239,73029.25,4246.48,18.38,UPI,0,Bale-50kg
TXN2023-002677,26-12-2023,Individual Farmer,Jowar,Rabi,67.9,32.1,6.78,8538,50714.4,2357.83,12.75,Bank Transfer,0,Bags
TXN2023-004989,27-12-2023,Dairy Farm,Maize,Rabi,65.7,34.3,16.21,6953,115982.55,3338.49,15.26,Bank Transfer,0,Bale-50kg
TXN2023-004900,27-12-2023,Individual Farmer,Bajra,Rabi,63.9,36.1,8.82,7636,60381.72,3098.38,18.36,Cash,0,Bale-50kg
TXN2023-005035,27-12-2023,Dairy Farm,Jowar,Rabi,63.9,36.1,5.78,8255,38720.22,2070.65,13.82,Bank Transfer,0,Bulk
TXN2023-003624,27-12-2023,Distributor,Bajra,Rabi,63.1,36.9,4.61,7386,34999.12,2039.3,6,Credit,30,Bulk
TXN2023-005391,28-12-2023,Dairy Farm,Bajra,Rabi,66.4,33.6,25.05,7349,142158.75,3847.94,18.12,Bank Transfer,0,Bags
TXN2023-003861,28-12-2023,Individual Farmer,Jowar,Rabi,66.3,33.7,14.18,8237,103131.14,2965.69,12.09,UPI,0,Bulk
TXN2023-002126,28-12-2023,Dairy Farm,Jowar,Rabi,70.6,29.4,10.71,7314,80646.3,3640.36,11.36,UPI,0,Bags
TXN2023-002230,28-12-2023,Co-operative,Jowar,Rabi,64.3,35.7,10.24,8176,86343.68,3731.62,13.76,Credit,30,Bale-50kg
TXN2023-004785,28-12-2023,Individual Farmer,Maize,Rabi,67.6,30.7,9.83,7212,66352.5,3781.51,13.32,UPI,0,Bale-25kg
TXN2023-003253,28-12-2023,Dairy Farm,Bajra,Rabi,67,33,8.28,7457,62083.44,3811.3,12.69,UPI,0,Bale-50kg
TXN2023-003931,28-12-2023,Individual Farmer,Maize,Rabi,67.6,31.3,8.04,7038,53988.6,2813.33,13.94,Bank Transfer,0,Bale-50kg
TXN2023-000948,28-12-2023,Dairy Farm,Jowar,Rabi,61.1,38.9,6.24,7595,43686.24,3828.75,15.35,UPI,0,Bags
TXN2023-005409,28-12-2023,Individual Farmer,Bajra,Rabi,63.9,36.1,2.31,7462,16156.14,2836.7,15.2,Credit,21,Bags
TXN2023-004314,29-12-2023,Co-operative,Jowar,Rabi,70.3,29.7,11.78,7294,90458.62,3463.46,10.58,Credit,30,Bulk
TXN2023-002724,29-12-2023,Dairy Farm,Jowar,Rabi,67.7,32.3,9.37,8303,84995.27,1919.98,12.33,Credit,7,Bags
TXN2023-004750,29-12-2023,Co-operative,Bajra,Rabi,66.8,33.2,5.49,7380,41361.66,2307.68,14.38,UPI,0,Bale-50kg
TXN2023-002120,30-12-2023,Distributor,Maize,Rabi,64.9,36.3,17.07,7130,122477.25,5554.65,17.45,Cash,0,Bale-25kg
TXN2023-000073,30-12-2023,Dairy Farm,Bajra,Rabi,65.6,34.4,14.01,7137,98294.16,5190.59,13.35,Bank Transfer,0,Bulk
TXN2023-004054,30-12-2023,Individual Farmer,Jowar,Rabi,64.7,35.3,12.02,8314,99814.08,4264.15,15.71,UPI,0,Bale-25kg
TXN2023-004348,30-12-2023,Dairy Farm,Hybrid Mix,Rabi,62.3,37.7,10.72,6226,65381.28,2355.69,14.99,UPI,0,Bale-50kg
TXN2023-001155,31-12-2023,Individual Farmer,Jowar,Rabi,58.3,41.7,25.61,7736,195301.86,6225.23,17.8,Credit,7,Bale-25kg
TXN2023-003765,31-12-2023,Individual Farmer,Maize,Rabi,65,31.4,13.59,6954,91379.16,2922,13.55,Cash,0,Bags
TXN2023-002625,31-12-2023,Dairy Farm,Maize,Rabi,62.1,37.9,9.05,6877,66562.75,3114.55,12.09,UPI,0,Bulk
TXN2023-003591,31-12-2023,Individual Farmer,Bajra,Rabi,63.7,36.3,5.52,7521,37839.6,2104.03,16.77,Bank Transfer,0,Bale-25kg
TXN2023-003406,31-12-2023,Individual Farmer,Maize,Rabi,67.6,33.8,4.13,7054,29397.34,1416.64,19.02,UPI,0,Bale-50kg
TXN2023-004153,31-12-2023,Individual Farmer,Bajra,Rabi,62.9,37.1,3.07,7591,23706.54,2024.45,11.54,UPI,0,Bale-50kg
